player_ids,predicted_price_change,player_name
1,0,Balogun
2,0,Cédric
3,0,M.Elneny
4,0,Fábio Vieira
5,0,Gabriel
6,0,Havertz
7,0,Holding
8,0,G.Jesus
9,0,Jorginho
10,0,Kiwior
11,0,Marquinhos
12,0,Martinelli
13,0,Nketiah
14,0,Ødegaard
15,0,Thomas
16,0,Pepe
17,0,Ramsdale
18,0,Rúnarsson
19,0,Saka
20,0,Saliba
21,0,Sambi
22,0,Smith Rowe
23,0,Tavares
24,0,Tierney
25,0,Tomiyasu
26,0,Trossard
27,0,Trusty
28,0,Turner
29,0,White
30,0,Xhaka
31,0,Zinchenko
32,0,Alex Moreno
33,0,Archer
34,0,Bailey
35,0,Buendia
36,0,Cash
37,0,Chambers
38,0,Coutinho
39,0,Davis
40,0,Dendoncker
41,0,Diego Carlos
42,0,Digne
43,0,Douglas Luiz
44,0,Duran
45,0,Hause
46,0,Iroegbunam
47,0,Kamara
48,0,Konsa
49,0,Martinez
50,0,McGinn
51,0,Mings
52,0,Nakamba
53,0,Olsen
54,0,Philogene
55,0,J.Ramsey
56,0,Sanson
57,0,Sinisalo
58,0,Tielemans
59,0,Bertrand Traoré
60,1,Watkins
61,0,Wesley
62,0,Anthony
63,0,Billing
64,0,Brooks
65,0,Christie
66,0,L.Cook
67,0,Siriki
68,0,Fredericks
69,0,Hill
70,0,Kelly
71,0,Kilkenny
72,0,Kluivert
73,0,Lowe
74,0,Marcondes
75,0,Mepham
76,0,Moore
77,0,Neto
78,0,O.Dango
79,0,Pearson
80,0,Randolph
81,0,Rothwell
82,0,Semenyo
83,0,Senesi
84,0,Smith
85,1,Solanke
86,0,Tavernier
87,0,Hamed Traorè
88,0,Travers
89,0,Zabarnyi
90,0,Ajer
91,0,Balcombe
92,0,Baptiste
93,0,Bech
94,0,Bidstrup
95,0,Canós
96,0,Collins
97,0,Cox
98,0,Damsgaard
99,0,Dasilva
100,0,Dervişoğlu
101,1,Flekken
102,0,Goode
103,0,Henry
104,0,Hickey
105,0,Janelt
106,0,Jensen
107,0,Lewis-Potter
108,0,Mbeumo
109,0,Mee
110,0,Nørgaard
111,0,Onyeka
112,0,Pinnock
113,0,Raya
114,0,Roerslev
115,0,Schade
116,0,Strakosha
117,1,Toney
118,0,Trevitt
119,0,Wissa
120,0,Yarmoliuk
121,0,Zanka
122,0,Adingra
123,0,Alzate
124,0,Ayari
125,0,Buonanotte
126,0,Caicedo
127,0,Connolly
128,0,Dahoud
129,0,Dunk
130,0,Enciso
131,0,Estupiñan
132,0,Ferguson
133,0,Gilmour
134,0,Gross
135,0,João Pedro
136,0,Karbownik
137,0,Kozłowski
138,0,Lallana
139,0,Lamptey
140,0,March
141,0,McGill
142,0,Milner
143,0,Mitoma
144,0,Moder
145,0,Sanchez
146,0,Sarmiento
147,0,Scherpen
148,0,Steele
149,0,Undav
150,0,Van Hecke
151,0,Veltman
152,0,Verbruggen
153,0,Webster
154,0,Welbeck
155,0,Zeqiri
156,0,Agyei
157,0,Al-Dakhil
158,0,Bastien
159,0,Benson
160,-1,Beyer
161,0,Brownhill
162,0,Churlinov
163,0,Cork
164,0,Costelloe
165,0,Cullen
166,0,Egan-Riley
167,0,Ekdal
168,0,Foster
169,0,Franchi
170,0,Gudmundsson
171,0,McNally
172,0,Muric
173,0,O'Shea
174,0,Obafemi
175,0,Peacock-Farrell
176,0,Roberts
177,0,Rodriguez
178,-1,Taylor
179,0,Thomas
180,0,Twine
181,0,Vigouroux
182,0,Vitinho
183,0,Weghorst
184,0,Zaroury
185,0,Ampadu
186,0,Andrey
187,0,Arrizabalaga
188,0,Aubameyang
189,0,Azpilicueta
190,0,Baba
191,0,B.Badiashile
192,0,Bettinelli
193,0,Broja
194,0,Chalobah
195,0,Chilwell
196,0,Chukwuemeka
197,0,Colwill
198,0,Cucurella
199,0,Enzo
200,0,D.D.Fofana
201,0,W.Fofana
202,0,Gallagher
203,0,Gusto
204,0,Hall
205,0,Hudson-Odoi
206,0,James
207,0,Lukaku
208,0,Madueke
209,0,Mount
210,0,Mudryk
211,0,N.Jackson
212,-1,Nkunku
213,0,Pulisic
214,0,M.Sarr
215,0,Slonina
216,0,Sterling
217,0,T.Silva
218,0,Ziyech
219,0,Ahamada
220,0,Andersen
221,0,J.Ayew
222,0,Clyne
223,0,C.Doucouré
224,0,Ebiowei
225,0,Edouard
226,0,Eze
227,0,Guaita
228,0,Guéhi
229,0,Hughes
230,0,Johnstone
231,0,Lerma
232,0,Mateta
233,0,Matthews
234,0,Mitchell
235,0,O'Brien
236,0,Olise
237,0,Plange
238,0,C.Richards
239,0,Riedewald
240,0,Schlupp
241,0,Tomkins
242,0,Ward
243,0,Whitworth
244,0,André Gomes
245,0,Branthwaite
246,0,Calvert-Lewin
247,0,Coleman
248,0,Dele
249,0,A.Doucoure
250,0,Garner
251,0,Gbamin
252,0,Godfrey
253,0,Gray
254,0,Gana
255,0,Holgate
256,0,Iwobi
257,0,Keane
258,0,Maupay
259,0,McNeil
260,0,Mykolenko
261,0,Onana
262,0,Patterson
263,0,Pickford
264,0,Simms
265,0,Tarkowski
266,0,J.Virginia
267,0,Andreas
268,0,Cairney
269,0,I.Cavaleiro
270,0,De Cordova-Reid
271,0,Diop
272,0,Francois
273,0,Knockaert
274,0,Kongolo
275,0,Leno
276,0,Lukić
277,0,Mbabu
278,0,Mitrović
279,0,Muniz
280,0,J.Palhinha
281,0,Ream
282,0,Reed
283,1,Robinson
284,0,Rodák
285,0,Tete
286,0,Tosin
287,0,Vinícius
288,0,Wilson
289,0,Adrián
290,0,Alexander-Arnold
291,0,A.Becker
292,0,Bajcetic
293,-1,Darwin
294,-1,Diogo J.
295,0,Elliott
296,0,Fabinho
297,0,Gakpo
298,0,Gomez
299,0,Henderson
300,0,Jones
301,1,Kelleher
302,-1,Konaté
303,0,Luis Díaz
304,0,Mac Allister
305,0,Matip
306,0,Phillips
307,0,Robertson
308,0,Salah
309,0,Szoboszlai
310,0,Thiago
311,0,Tsimikas
312,0,Van den Berg
313,0,Virgil
314,0,Adebayo
315,0,Andersen
316,0,Bell
317,0,Berry
318,0,Burke
319,0,Campbell
320,0,Clark
321,0,Doughty
322,0,Freeman
323,0,Macey
324,0,McAtee
325,0,Mendes
326,0,Morris
327,0,Muskwe
328,0,Ogbene
329,0,Onyedinma
330,0,Osho
331,0,Pepple
332,0,Pereira
333,0,Potts
334,0,Rea
335,0,Shea
336,0,Taylor
337,0,Thorpe
338,0,Walton
339,0,Watson
340,0,Woodrow
341,0,Akanji
342,0,Aké
343,-1,J.Alvarez
344,0,Bernardo
345,0,Bobb
346,0,Cancelo
347,0,Carson
348,0,Charles
349,0,De Bruyne
350,0,Rúben
351,0,Doyle
352,0,Ederson M.
353,0,Foden
354,0,Grealish
355,1,Haaland
356,0,Kovačić
357,0,Laporte
358,0,R.Lewis
359,0,Mahrez
360,0,McAtee
361,0,Ortega Moreno
362,-1,Palmer
363,0,Perrone
364,0,Phillips
365,0,Rodrigo
366,0,Sergio Gómez
367,0,Steffen
368,0,Stones
369,0,Walker
370,0,Alex Telles
371,0,Amad
372,0,Antony
373,0,B.Fernandes
374,0,B.Williams
375,0,Bailly
376,0,Casemiro
377,0,Dalot
378,0,Elanga
379,0,Eriksen
380,0,Fernandez
381,0,Fred
382,0,Garnacho
383,0,Hannibal
384,0,Heaton
385,0,Henderson
386,0,Lindelof
387,0,Maguire
388,0,Mainoo
389,0,Malacia
390,0,Martial
391,0,Martinez
392,0,McTominay
393,0,Mengi
394,0,Pellistri
395,0,R.Varane
396,0,Rashford
397,0,Sancho
398,0,Shaw
399,0,Shoretire
400,0,Van de Beek
401,0,Wan-Bissaka
402,0,Almirón
403,0,Anderson
404,0,Ashby
405,0,Botman
406,0,Bruno G.
407,0,Burn
408,0,Darlow
409,0,Dubravka
410,0,Fraser
411,0,Gillespie
412,0,Gordon
413,0,Hayden
414,0,Hendrick
415,0,Isak
416,0,Joelinton
417,0,Krafth
418,0,Kuol
419,0,Lascelles
420,0,J.Lewis
421,0,Longstaff
422,0,Manquillo
423,0,J.Murphy
424,0,Pope
425,0,Ritchie
426,0,Saint-Maximin
427,0,Schär
428,0,Targett
429,0,Tonali
430,0,Trippier
431,0,Watts
432,0,Willock
433,0,Wilson
434,0,B.Aguilera
435,0,Arter
436,0,Aurier
437,0,Awoniyi
438,0,Biancone
439,0,Boly
440,0,Bowler
441,0,Cook
442,0,Danilo
443,0,Dennis
444,0,Dräger
445,0,Felipe
446,0,Freuler
447,0,Gibbs-White
448,0,Hennessey
449,0,Horvath
450,0,Johnson
451,0,Kouyaté
452,0,Laryea
453,0,Mangala
454,0,Mbe Soh
455,0,McKenna
456,0,Mighten
457,0,Niakhaté
458,0,O'Brien
459,0,Ojeda
460,0,Panzo
461,0,O.Richards
462,0,G.Scarpa
463,0,J.Shelvey
464,0,Surridge
465,0,Toffolo
466,0,Ui-jo
467,0,Williams
468,0,Wood
469,0,Worrall
470,0,Yates
471,0,Ahmedhodžić
472,0,Amissah
473,0,Baldock
474,0,Basham
475,0,Berge
476,0,Bogle
477,0,Brewster
478,0,Coulibaly
479,0,A.Davies
480,0,Egan
481,0,Fleck
482,0,Foderingham
483,0,Jebbison
484,0,Lowe
485,0,McBurnie
486,0,Ndiaye
487,0,Norrington-Davies
488,0,Norwood
489,0,Osborn
490,0,Osula
491,0,Austin
492,0,Bentancur
493,0,Bissouma
494,0,Bryan
495,0,Davies
496,0,Dier
497,0,E.Royal
498,0,Forster
499,0,Højbjerg
500,0,Kane
501,0,Kulusevski
502,0,Lloris
503,0,Lo Celso
504,-1,Maddison
505,0,Ndombele
506,-1,Pedro Porro
507,0,Perišić
508,1,Reguilón
509,-1,Richarlison
510,0,Rodon
511,0,Romero
512,0,Sánchez
513,0,Sarr
514,0,Sessegnon
515,0,Skipp
516,0,Son
517,0,Spence
518,0,Tanganga
519,0,Udogie
520,0,Vicario
521,0,Whiteman
522,0,N.Aguerd
523,0,Antonio
524,0,Areola
525,0,Benrahma
526,0,Bowen
527,0,Cornet
528,0,Coufal
529,0,Coventry
530,0,Cresswell
531,0,Downes
532,0,Emerson
533,0,Fabianski
534,0,P.Fornals
535,0,Ings
536,0,Johnson
537,0,Kehrer
538,0,Mubama
539,0,L.Paquetá
540,0,Rice
541,0,Scamacca
542,0,Souček
543,0,Vlašić
544,0,Zouma
545,0,Aït-Nouri
546,0,Bentley
547,0,Bolla
548,0,H.Bueno
549,0,Chiquinho
550,0,Cundle
551,0,Dawson
552,0,Fábio Silva
553,0,Giles
554,0,Guedes
555,0,Hodge
556,0,Hoever
557,0,Hee Chan
558,0,Raúl
559,0,João Gomes
560,0,J.Otto
561,0,Jordão
562,0,Kalajdžić
563,0,Kilman
564,0,King
565,0,Mario Jr.
566,0,Matheus N.
567,0,Neto
568,0,Podence
569,0,José Sá
570,0,Sarabia
571,0,Šarkić
572,0,N.Semedo
573,0,Toti
574,0,Boubacar Traore
575,0,Lockyer
576,0,Robinson
577,0,Ogbonna
578,0,Nelson
579,0,Lonergan
580,0,Karius
581,0,Dummett
582,0,Mpanzu
583,0,Solomon
584,0,Pau
585,0,J.Timber
586,0,Chong
587,0,Slimane
588,0,Young
589,0,Ângelo
590,0,Cunha
591,0,Willian
592,0,Larouci
593,0,T.Bénie
594,0,Amdouni
595,0,Kerkez
596,0,Trafford
597,0,Onana
598,0,Doherty
599,0,Diaby
600,0,Redmond
601,0,Danjuma
602,-1,Kaboré
603,0,Barnes
604,0,Aina
605,0,Koleosho
606,0,Igor
607,0,Radu
608,0,Bruun Larsen
609,0,Maatsen
610,0,Bassey
611,0,Disasi
613,0,Ugochukwu
614,0,Kaminski
615,0,Matheus França
616,0,Gvardiol
617,0,Højlund
618,0,Kellyman
619,0,Greenwood
620,0,Olakigbe
621,0,Hinshelwood
622,0,Dodgson
623,0,Burstow
624,0,Dobbin
625,0,De Fougerolles
626,0,Quansah
627,0,Clark
628,0,Doak
629,0,McConnell
630,0,Barkley
631,0,Brown
632,0,Forson
633,0,Livramento
634,0,A.Murphy
635,0,Miley
636,0,G.Shelvey
637,0,Powell
638,0,Vini Souza
639,0,Van de Ven
640,0,Scarlett
641,0,Veliz
642,0,Álvarez
643,0,Aarons
644,0,Scott
645,0,Y. Chermiti
646,0,Hein
647,0,Anang
648,0,Francis-Clarke
649,0,Cannon
650,0,Onyango
651,0,Stansfield
652,0,Dibley-Dias
653,0,Seriki
654,0,Marsh
655,0,Brooks
656,0,Hackford
657,0,Rak-Sakyi
658,0,Gordon
659,0,Bergström
660,0,Odobert
661,0,Harrison
662,0,Adama
663,0,Hamer
664,0,Ward-Prowse
665,0,Krul
666,0,T.Davies
667,0,Lavia
668,0,Endo
669,0,Vítek
670,0,Marschall
671,0,Humphreys
672,0,Zaniolo
673,0,Adams
674,0,Delcroix
675,0,A.Ramsey
676,0,Mavropanos
677,0,Deivid
678,0,Doku
679,0,G.Montiel
680,0,Beach
681,0,Diego Moreira
682,0,Johnson
683,0,Harris
684,0,Brierley
685,0,Gore
686,0,Zych
687,0,Petrović
688,0,Castagne
689,0,Kudus
690,0,Baleba
691,0,Beto
692,0,Benda
693,0,Thomas
694,0,Massengo
695,0,Altay
696,0,Murillo
697,0,S.Bueno
698,0,González
699,0,Lenglet
700,0,Ansu Fati
701,0,Ghoddos
702,0,Phillips
703,0,Evans
704,0,Fraser
705,0,Sinisterra
706,0,M.Trésor
707,0,Ballo-Touré
708,0,Gravenberch
709,0,Amrabat
710,0,Odysseas
711,0,Omobamidele
712,0,Dominguez
713,0,Sangaré
714,0,Origi
715,0,Bellegarde
716,0,Gilchrist
717,0,Stutter
718,0,Matos
719,0,Hunt
720,0,Ola-Adebomi
721,0,Ozoh
722,0,Donley
723,0,Brooking
724,0,Raymond
725,0,Kim Ji-Soo
726,0,Chambers
727,0,Townsend
728,0,Scanlon
729,0,Luker
730,0,Oné
731,0,Buyabu
732,0,Tanton
733,0,Adedokun
734,0,Nelson
735,0,Sagoe
736,0,Walters
737,0,Ibrahim
738,0,Diallo
739,0,Parkinson
740,0,Dorrington
741,0,O’Mahony
742,0,Baker-Boaitey
743,0,Nyoni
744,0,Peart-Harris
745,0,Ndiweni
746,0,Jackson
747,0,Duffus
748,0,Hugill
749,0,Whittingham
750,0,Chirewa
751,0,Hubner
752,0,Angelini
753,0,Kavanagh
754,0,Yago Santiago
755,0,Barrington
756,0,Pitaluga
757,0,Bradley
758,0,Castledine
759,0,Peck
760,0,Metcalfe
761,0,Campbell
762,0,Susoho
763,0,Adaramola
764,0,Lewis-Skelly
765,0,Proctor
766,0,Kambwala
767,0,O'Reilly
768,0,Bennett
769,0,Hesketh
770,0,Barnett
771,0,Hamilton
772,0,Nwaneri
773,0,Orford
774,0,Casey
775,0,Brereton Díaz
776,0,Werner
777,0,Drăgușin
778,0,Wright
779,0,McDonnell
780,0,Osong
781,0,Gardner
782,0,Beck
783,0,Gordon
784,0,Scarles
785,0,Marshall
786,0,Peupion
787,0,Griffiths
788,0,Mosquera
789,0,Valdimarsson
790,0,Grbić
791,0,Casadei
792,0,Muñoz
793,0,Kesler-Hayden
794,0,White
795,0,Hernes
796,0,Sekularac
797,0,Fredrick
798,0,Hashioka
799,0,Faivre
800,0,N.Lemina
801,0,Reyna
802,0,Kinsey-Wellings
803,0,Rogers
804,0,Enes Ünal
805,0,Assignon
806,0,Estève
807,0,Wharton
808,0,Sels
809,0,Ribeiro
810,0,King
811,0,Sadi
812,0,Koumas
813,0,Mrozek
814,0,Wright
815,0,Bandeira
816,0,Barco
817,0,Sweet
818,0,Gauci
819,0,Samuels-Smith
820,0,Harrison
821,0,Umeh-Chibueze
822,0,Blacker
823,0,Arblaster
824,0,Danns
